id,facility_type,target_facility_name,road_name,address,latitude,hardness,organization_name,police_station_name,whether_install,count_install,base_date
,초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,2022-04-27
,유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214,127.3867481,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214,127.3867481,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,한양유치원,대전광역시 서구 계룡로571번길 65,,36.3438214,127.3867481,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.31891137,127.3819942,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.31891137,127.3819942,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,명화유치원,대전광역시 서구 조달청길 180,대전광역시 서구 도마동 499,36.31891137,127.3819942,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.32611831,127.3736692,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.32611831,127.3736692,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,무지개유치원,대전광역시 서구 도솔로 173,대전광역시 서구 도마동 19-1,36.32611831,127.3736692,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,옥토유치원,대전광역시 서구 정림로 11,,36.30199716,127.3654013,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,유치원,옥토유치원,대전광역시 서구 정림로 11,,36.30199716,127.3654013,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,유치원,옥토유치원,대전광역시 서구 정림로 11,,36.30199716,127.3654013,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,유치원,느리울유치원,대전광역시 서구 구봉로 147번길 64,대전광역시 서구 관저동 1342,36.299256,127.338673,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,느리울유치원,대전광역시 서구 구봉로 147번길 64,대전광역시 서구 관저동 1342,36.299256,127.338673,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,느리울유치원,대전광역시 서구 구봉로 147번길 64,대전광역시 서구 관저동 1342,36.299256,127.338673,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,행복한유치원,대전광역시 서구 복수서로 10,,36.30527814,127.373487,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,행복한유치원,대전광역시 서구 복수서로 10,,36.30527814,127.373487,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,행복한유치원,대전광역시 서구 복수서로 10,,36.30527814,127.373487,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,하이캠유치원,대전광역시 서구 계룡로325번길 16,대전광역시 서구 월평동 808,36.355112,127.3654944,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,하이캠유치원,대전광역시 서구 계룡로325번길 16,대전광역시 서구 월평동 808,36.355112,127.3654944,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,하이캠유치원,대전광역시 서구 계룡로325번길 16,대전광역시 서구 월평동 808,36.355112,127.3654944,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,초등학교,길헌분교,대전광역시 서구 당고개길 48,,36.241794,127.3163407,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,길헌분교,대전광역시 서구 당고개길 48,,36.241794,127.3163407,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,길헌분교,대전광역시 서구 당고개길 48,,36.241794,127.3163407,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,신계초등학교,대전광역시 서구 복수동로 26,대전광역시 서구 복수동 452,36.30192827,127.3780501,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,신계초등학교,대전광역시 서구 복수동로 26,대전광역시 서구 복수동 452,36.30192827,127.3780501,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,신계초등학교,대전광역시 서구 복수동로 26,대전광역시 서구 복수동 452,36.30192827,127.3780501,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,어린이집,다예린어린이집,대전광역시 서구 도솔로 267번길 8,,36.3337525,127.3789739,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,다예린어린이집,대전광역시 서구 도솔로 267번길 8,,36.3337525,127.3789739,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,다예린어린이집,대전광역시 서구 도솔로 267번길 8,,36.3337525,127.3789739,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,예림유치원,대전광역시 서구 탄방로 65,대전광역시 서구 탄방동 59-14,36.34299566,127.3946282,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,예림유치원,대전광역시 서구 탄방로 65,대전광역시 서구 탄방동 59-14,36.34299566,127.3946282,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,예림유치원,대전광역시 서구 탄방로 65,대전광역시 서구 탄방동 59-14,36.34299566,127.3946282,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
